13590 21020
2 1004 7036
2 5147 6436
2 5450 8242
2 7194 3742
2 11933 7978
2 4939 11203
2 12130 5578
2 11071 9502
2 3162 13165
2 9997 12628
2 1554 2170
2 1126 4685
2 12186 489
2 1163 9617
2 4842 294
2 7666 4249
2 289 2123
2 2728 4815
2 3512 10746
2 42 12998
2 12688 3967
2 2390 7235
2 2392 8605
2 1578 9007
2 10430 1399
2 2670 2318
2 1447 5722
2 7704 11091
2 8954 13221
2 5541 9083
2 2346 8591
2 10447 5175
2 729 627
2 11279 8236
2 4377 9055
2 9444 4271
2 4140 5848
2 871 12681
2 134 9587
2 6217 4296
2 8906 7815
2 6675 8433
2 12971 9218
2 12920 11467
2 8780 10353
2 5950 2147
2 5138 8062
2 7359 6466
2 5002 2574
2 5618 3449
2 10231 12966
2 3101 4414
2 2854 13422
2 1654 9712
2 9231 3852
2 1276 2387
2 10805 1
2 47 5109
2 5349 2583
2 4394 11737
2 3660 1279
2 11955 6712
2 4853 13432
2 949 2894
2 4008 803
2 1875 10704
2 6573 5367
2 9652 10953
2 7181 10846
2 1297 2737
2 11519 9669
2 7926 11659
2 4301 6248
2 10234 999
2 3798 2495
2 7731 5075
2 8540 6785
2 9549 2227
2 11079 2118
2 1292 4605
2 9336 4336
2 6879 4475
2 11584 13220
2 12059 2857
2 4737 4962
2 6164 732
2 890 1761
2 11629 815
2 13447 8008
2 4460 10402
2 10929 10792
2 130 11596
2 13215 10588
2 9548 10767
2 9315 3744
2 8854 11130
2 12736 2937
2 3038 3887
2 7643 10602
2 13325 12825
2 9772 12082
2 10562 4902
2 4580 4330
2 9471 318
2 5647 6394
2 2230 13155
2 11549 5818
2 3610 5866
2 2230 4280
2 8635 11766
2 12883 5579
2 11938 5509
2 4066 3014
2 9618 10168
2 8051 9340
2 7235 7518
2 3033 486
2 3981 8523
2 1871 6320
2 3472 317
2 5023 255
2 6016 10679
2 2423 3846
2 5552 2424
2 13222 12426
2 10704 4005
2 3030 11929
2 6543 4932
2 3357 2828
2 9570 9699
2 12893 1382
2 823 12263
2 4498 5360
2 3823 7569
2 2551 3449
2 6526 13350
2 2830 6490
2 1700 6349
2 12104 2310
2 258 5402
2 3841 7435
2 8259 11439
2 3646 4081
2 5135 8957
2 8760 10384
2 6921 709
2 6535 8544
2 567 5824
2 12747 8568
2 11368 11151
2 11347 2584
2 745 10323
2 1852 6833
2 13583 6164
2 11615 4796
2 12437 7958
2 11590 13043
2 3065 8402
2 8511 4688
2 11380 9380
2 10345 9657
2 9412 1250
2 3096 10924
2 3879 7225
2 3322 3448
2 2706 9798
2 8958 9016
2 5392 6734
2 5160 9309
2 452 1514
2 9131 9693
2 11506 12126
2 7532 2251
2 13346 1609
2 6212 13414
2 9106 2697
2 3008 3531
2 6694 27
2 2710 2024
2 9672 6055
2 12368 9109
2 1628 7208
2 11357 6968
2 1871 1492
2 10081 6450
2 3306 2350
2 10049 5361
2 10816 922
2 1552 1176
2 1528 3220
2 6742 6915
2 9897 2965
2 3787 6594
2 12616 4933
2 12639 2836
2 9823 8459
2 13429 9722
2 9347 296
2 1577 4905
2 10228 7526
2 5910 8670
2 4254 6587
2 13157 7564
2 11171 72
2 8103 11344
2 3340 5856
2 9152 9221
2 3639 13169
2 3930 523
2 4090 9101
2 296 4647
2 5120 12245
2 3002 988
2 7998 5457
2 4551 8057
2 2643 7436
2 2891 1573
2 9077 840
2 12607 6649
2 10084 4303
2 6261 12720
2 12658 4252
2 10869 1852
2 7683 10482
2 12436 13431
2 11684 4230
2 3523 8650
2 3150 1403
2 623 8851
2 3555 2555
2 10557 6260
2 445 12905
2 1657 6754
2 2792 13385
2 2664 8672
2 422 5675
2 11394 11575
2 7310 12687
2 257 9487
2 2356 1121
2 12276 3564
2 9752 10250
2 6332 9804
2 2977 5841
2 4458 7786
2 1269 7408
2 8503 8251
2 6962 3356
2 925 11468
2 10093 12252
2 3230 6879
2 12435 6215
2 8468 1334
2 5622 8083
2 6162 11273
2 12957 9986
2 9481 7
2 10231 5822
2 5202 12473
2 3973 7578
2 6882 4642
2 6895 13408
2 3788 10416
2 11521 10444
2 8216 1656
2 9245 5800
2 1238 9395
2 9222 11487
2 12743 10823
2 10188 293
2 7347 6531
2 12580 10102
2 2150 1212
2 4346 4085
2 12744 6314
2 4284 829
2 2300 11882
2 2557 7732
2 3822 6071
2 6664 740
2 11306 8643
2 5592 8265
2 7612 8864
2 12205 10758
2 9913 3686
2 7539 6036
2 8452 3658
2 8165 2920
2 12092 4295
2 7934 10894
2 5242 7375
2 5219 4424
2 12609 820
2 13446 11301
2 7403 10546
2 10649 13349
2 7197 10987
2 4856 8469
2 7865 10965
2 11017 2098
2 11413 11818
2 8832 10629
2 1386 7405
2 4466 298
2 12575 10226
2 13237 103
2 9904 12006
2 3987 13000
2 5408 476
2 12298 9611
2 12561 3215
2 10332 1285
2 9045 11125
2 7342 569
2 8488 870
2 1635 9854
2 11976 2587
2 9700 1383
2 3959 10065
2 6853 10060
2 9634 13259
2 543 978
2 7490 11142
2 13367 1249
2 4919 7040
2 3388 4070
2 12471 4197
2 2846 2182
2 10375 5724
2 5272 506
2 13145 3612
2 9039 7216
2 11537 11345
2 6203 7490
2 3097 4455
2 2760 5518
2 10297 11720
2 9140 2718
2 13282 3556
2 11355 11169
2 1740 8061
2 8918 11883
2 6572 7349
2 6443 13362
2 8497 4436
2 9877 9350
2 10773 616
2 6096 531
2 326 6820
2 12523 9413
2 126 6787
2 7294 10619
2 4114 396
2 2586 7224
2 12965 3258
2 3646 11236
2 11299 5512
2 8882 1868
2 846 2457
2 2907 7245
2 6119 11521
2 12620 3462
2 6345 1329
2 1738 5237
2 9009 5308
2 12052 13397
2 2820 3757
2 12062 11213
2 6368 3882
2 10297 4137
2 8630 5087
2 1260 12065
2 8340 108
2 2475 9713
2 11319 5201
2 6492 1192
2 10295 10802
2 6103 6404
2 3608 7813
2 4664 10718
2 8064 5826
2 8852 5133
2 10124 2996
2 12349 1375
2 10210 5084
2 4331 12009
2 7622 11805
2 957 2241
2 2848 2459
2 11550 8440
2 374 5504
2 5606 11847
2 7710 6973
2 11511 12894
2 12558 6183
2 7767 6328
2 1902 65
2 13230 149
2 8106 11779
2 6709 4652
2 7617 10781
2 2580 9627
2 11247 12904
2 5079 2888
2 9062 13059
2 4235 771
2 4694 9370
2 6152 3474
2 5487 2237
2 8751 10058
2 11225 10203
2 11319 1536
2 1113 3388
2 13036 4191
2 1901 3171
2 4694 5176
2 3391 12013
2 975 5349
2 11305 13083
2 4276 9385
2 8689 1764
2 3253 11509
2 6422 1450
2 3039 5901
2 9436 10894
2 8975 7906
2 3052 2325
2 10863 3193
2 9611 9513
2 11439 9485
2 13257 521
2 4707 2279
2 10235 10197
2 7910 6515
2 10895 10803
2 6554 13097
2 103 1704
2 774 8787
2 12302 9940
2 3217 5980
2 11793 2975
2 7509 12132
2 11296 6804
2 4436 1104
2 93 4358
2 850 13438
2 8211 8264
2 1601 8340
2 645 11211
2 13540 10833
2 2039 668
2 8473 3012
2 9235 221
2 6735 11693
2 13439 2954
2 4525 9384
2 457 6857
2 2430 12803
2 1932 13176
2 7233 12990
2 5557 8799
2 10891 607
2 2362 13007
2 11888 6192
2 8889 9839
2 4313 12273
2 3164 6959
2 10424 9066
2 10727 1292
2 2764 3565
2 736 9146
2 10125 6251
2 2127 3187
2 5718 12957
2 9870 1206
2 12831 12156
2 4107 9817
2 12392 12940
2 7642 13168
2 467 7294
2 7470 12078
2 8674 12647
2 22 2836
2 12951 817
2 968 9685
2 11401 3738
2 3618 6295
2 849 11244
2 8011 2154
2 2004 3529
2 13378 2692
2 6344 12937
2 2178 9193
2 10759 9266
2 3622 6509
2 2545 13403
2 2338 9033
2 1178 7393
2 586 8987
2 8749 6276
2 9562 7275
2 3272 10309
2 10898 7198
2 9292 4584
2 337 3737
2 2249 2671
2 8742 13535
2 825 13314
2 6458 4954
2 5689 12160
2 7814 8444
2 13555 1798
2 492 7213
2 8878 6455
2 7447 12786
2 7715 13290
2 2071 3790
2 5675 2260
2 2566 8032
2 2739 2176
2 1451 8722
2 2328 10191
2 2465 11839
2 11129 12028
2 10131 8689
2 10384 11052
2 6373 10158
2 4776 343
2 8484 2376
2 9018 8761
2 10267 2902
2 295 11066
2 5770 12414
2 10714 5461
2 11512 4383
2 10728 1147
2 3572 13073
2 11373 5590
2 1248 377
2 12389 11015
2 4586 13365
2 2830 11502
2 11343 9008
2 1501 454
2 2144 11613
2 5786 4176
2 9528 7471
2 9235 2178
2 6399 5788
2 11533 1506
2 3943 5287
2 8866 11356
2 4153 7663
2 9941 8080
2 689 11748
2 233 2526
2 8623 4223
2 13514 363
2 8713 9247
2 10946 3426
2 1154 4498
2 5473 12138
2 13336 8110
2 13298 4136
2 1307 4956
2 7795 8786
2 3157 4434
2 3196 10202
2 8134 948
2 199 5298
2 1727 5962
2 12742 11422
2 13517 1726
2 7713 9926
2 8141 1183
2 826 4069
2 13287 1271
2 1803 7704
2 9991 13365
2 13222 821
2 11297 11298
2 6772 12563
2 7392 1596
2 8205 9938
2 5863 5070
2 13437 8386
2 1642 4500
2 10173 6507
2 2736 10179
2 8375 9761
2 9714 8001
2 8249 3403
2 1450 9490
2 10500 5940
2 245 2633
2 9995 124
2 6613 5196
2 3094 3360
2 4633 8445
2 8844 5373
2 11294 7893
2 3731 12150
2 2389 1670
2 5352 2708
2 8631 6585
2 822 5666
2 9890 6716
2 9983 5448
2 2603 10084
2 5777 4715
2 6737 1440
2 5295 7584
2 3226 10363
2 2576 2191
2 3393 1454
2 8776 9899
2 8559 1397
2 6248 8825
2 7443 8580
2 4957 11193
2 11893 1064
2 4038 10458
2 10997 11855
2 6620 12198
2 10658 7777
2 7016 12878
2 5695 6965
2 7773 4161
2 10829 958
2 143 2676
2 9716 7032
2 6156 2139
2 1422 7307
2 7845 7389
2 5251 2273
2 8671 3877
2 8219 9276
2 12179 5993
2 674 3082
2 4808 3956
2 13115 9608
2 1454 1099
2 69 11905
2 645 7313
2 388 10622
2 2551 11685
2 1173 8681
2 10547 3674
2 4160 3268
2 7697 6616
2 5502 4616
2 9702 6338
2 119 12257
2 10333 2095
2 10735 6634
2 7829 9631
2 13332 6463
2 9979 2926
2 9806 9638
2 8539 738
2 8939 10397
2 6851 5079
2 6827 11871
2 8298 6831
2 6782 4770
2 12672 703
2 11479 5717
2 7479 9463
2 11493 1684
2 13097 5710
2 3145 9021
2 5054 8414
2 12030 13279
2 7165 8653
2 787 9823
2 7854 1754
2 11732 1002
2 2810 6297
2 3645 8636
2 9923 4795
2 9837 5709
2 10459 4540
2 10261 1419
2 12027 12113
2 1993 791
2 10182 11002
2 4368 5820
2 9205 5646
2 5200 4051
2 13354 5245
2 1360 9326
2 10429 3061
2 5150 6023
2 7396 12820
2 8904 8067
2 2991 9174
2 2119 247
2 6274 10434
2 1496 397
2 4912 3862
2 6874 12119
2 8611 1583
2 8822 5556
2 6988 3816
2 10040 12950
2 123 5417
2 8778 2871
2 10694 10135
2 3547 8014
2 4649 3115
2 5351 10808
2 8675 9316
2 2251 8336
2 479 7078
2 9173 10210
2 5999 2879
2 569 10948
2 12141 7366
2 13181 12870
2 9728 6448
2 9352 7895
2 10703 5102
2 9582 12301
2 307 5864
2 8847 10218
2 13320 12411
2 9966 2063
2 4699 8607
2 8339 153
2 6362 12470
2 651 11797
2 833 3411
2 635 9532
2 8934 3072
2 8209 10788
2 4682 11914
2 5540 12703
2 11043 1114
2 8439 11927
2 10122 2044
2 2932 8833
2 11783 10263
2 12226 11680
2 11405 9871
2 12165 4833
2 8221 13584
2 5429 6792
2 3346 7482
2 4355 8394
2 6728 10914
2 5464 8788
2 2678 7241
2 13073 8429
2 2348 839
2 13280 2474
2 9949 8495
2 8237 10811
2 8876 2680
2 6939 7152
2 11921 11837
2 8175 66
2 12484 5074
2 4899 9661
2 7373 4866
2 6621 6581
2 5333 13528
2 5192 7499
2 9984 8108
2 4531 13073
2 3130 11515
2 6169 2312
2 12176 1544
2 534 8614
2 4484 10385
2 5462 5255
2 12361 6131
2 7507 2485
2 5425 10162
2 7775 5389
2 13422 5964
2 12418 631
2 3459 1319
2 10288 6375
2 13532 12765
2 4608 1211
2 7311 2589
2 7775 10014
2 5995 3721
2 921 9248
2 11434 7255
2 11395 177
2 12640 2224
2 9878 4131
2 278 2019
2 3993 9159
2 8858 8834
2 6435 6643
2 12938 362
2 9456 13493
2 6326 11149
2 7458 12516
2 10244 11147
2 7964 5369
2 13058 10641
2 7171 2083
2 1115 12189
2 11922 3465
2 7524 10436
2 8943 12945
2 11873 2892
2 9542 6706
2 8019 1427
2 3859 7487
2 952 7240
2 13308 5503
2 3578 2136
2 5253 2108
2 781 1466
2 1997 2275
2 5366 6483
2 10014 8453
2 11805 6388
2 532 4721
2 7870 5058
2 5422 5533
2 9625 13213
2 4180 11310
2 4684 2777
2 2667 2338
2 3546 5234
2 1660 233
2 6112 10925
2 11514 4807
2 1663 4580
2 12467 5958
2 12209 4728
2 8664 7324
2 12535 10697
2 10447 7469
2 4412 6220
2 8354 13254
2 8911 12050
2 12221 1617
2 6020 987
2 11926 6138
2 2206 5117
2 2645 1440
2 2332 2664
2 7385 10640
2 11382 11649
2 8046 7756
2 704 9074
2 570 10435
2 3190 7371
2 4206 9775
2 7925 6030
2 7234 9477
2 7945 4959
2 9209 5226
2 234 4726
2 4835 5815
2 4121 4463
2 12974 3926
2 1123 3717
2 10463 7730
2 3440 5782
2 4815 5223
2 11075 2117
2 172 12543
2 2369 9553
2 6552 7041
2 6699 3969
2 4866 8980
2 7181 8013
2 2415 5155
2 7858 2356
2 22 13037
2 5530 6374
2 3679 5471
2 9345 8215
2 5989 10132
2 7542 3735
2 3170 693
2 10164 1303
2 2962 6562
2 7143 2917
2 2220 8362
2 9713 9279
2 8107 605
2 8460 8838
2 1624 5755
2 11730 12973
2 2853 4881
2 12667 11420
2 993 7211
2 9498 4698
2 3904 12840
2 11527 4829
2 494 13041
2 5822 2830
2 6116 12686
2 13400 8979
2 7256 5210
2 10812 12768
2 4971 4512
2 251 5270
2 11283 9600
2 33 13249
2 6935 4264
2 3457 4487
2 13550 4469
2 13067 4030
2 2602 7733
2 10021 1461
2 13488 6211
2 13362 265
2 1403 570
2 4118 1559
2 2007 7416
2 1940 6235
2 1069 10426
2 4104 3174
2 2217 11694
2 10099 10983
2 4014 6238
2 3917 981
2 10696 1292
2 1565 13043
2 8809 879
2 12024 132
2 3029 6095
2 6474 2955
2 13213 3910
2 6247 9126
2 7223 5753
2 9136 10836
2 6576 5282
2 5435 4238
2 12625 10083
2 9083 12948
2 6901 4119
2 274 2023
2 6056 6779
2 282 10543
2 9081 8515
2 497 11889
2 7067 12719
2 3061 3357
2 3265 10726
2 4167 4854
2 6741 1697
2 5246 7385
2 10101 7628
2 2873 11807
2 9403 10112
2 7316 12958
2 3258 4152
2 9031 7989
2 12850 12005
2 1318 1841
2 6033 3367
2 11664 11535
2 8965 6352
2 1530 792
2 10832 2710
2 9050 892
2 5301 11332
2 13144 9511
2 2064 3373
2 4995 12016
2 7607 5632
2 13167 10314
2 6187 8225
2 7024 3037
2 1893 8413
2 12505 1077
2 13516 723
2 9356 2499
2 13496 8339
2 11053 11438
2 9005 8968
2 2453 193
2 13016 1146
2 12054 4936
2 11108 10207
2 7027 9294
2 136 7975
2 3832 6859
2 5348 7676
2 6075 592
2 4751 11792
2 8992 1432
2 11877 11997
2 5978 5269
2 1321 354
2 6667 12052
2 6701 8617
2 5536 11738
2 2876 236
2 7888 2900
2 7621 9885
2 12017 9316
2 12182 5733
2 8276 2046
2 6502 8798
2 1857 11333
2 5313 7372
2 12219 6800
2 2085 1775
2 13391 7269
2 4569 9858
2 7665 1843
2 5263 11374
2 5947 7164
2 11924 6098
2 7177 8256
2 966 5427
2 1125 852
2 7941 7364
2 7150 11448
2 6114 2917
2 13151 4714
2 2349 3502
2 5854 2025
2 4246 8563
2 1542 12715
2 12146 7655
2 13024 168
2 8779 8347
2 8750 1920
2 8015 5502
2 6635 6365
2 12532 1960
2 4979 9688
2 4277 1867
2 11190 5191
2 9662 7918
2 6996 7789
2 11232 4718
2 3781 9253
2 2788 1830
2 2902 50
2 2353 8418
2 10834 10971
2 3117 1739
2 2636 13586
2 6661 1675
2 8634 13159
2 10172 13474
2 5848 11559
2 6030 8422
2 8346 1824
2 9461 8392
2 2675 5685
2 11563 13428
2 1783 7785
2 3512 1239
2 3596 12590
2 7794 9904
2 12696 835
2 12544 7163
2 8245 10563
2 1605 5306
2 11246 11791
2 6102 5850
2 4564 12622
2 9307 10219
2 6613 4721
2 946 6986
2 5326 8463
2 8486 11490
2 8021 2118
2 10437 2850
2 6935 2863
2 1130 11472
2 1584 3184
2 3089 12629
2 10035 12462
2 7944 3675
2 2595 1634
2 11488 5318
2 12998 11595
2 3296 13273
2 7553 1545
2 4635 9257
2 9755 13123
2 2183 3936
2 9854 11033
2 6 20
2 1036 13439
2 11418 12856
2 6826 4239
2 1211 11074
2 2369 4545
2 6458 11508
2 8618 6925
2 3344 3746
2 6784 11556
2 1955 6008
2 4658 12617
2 5829 2385
2 4805 4169
2 9902 12097
2 6568 9579
2 5917 4302
2 13029 456
2 10041 2568
2 3174 10745
2 6336 8199
2 889 4236
2 4278 12371
2 12035 2875
2 4451 1072
2 5755 4329
2 7511 11258
2 11334 899
2 7224 417
2 13490 8749
2 13566 247
2 10003 2466
2 6898 11320
2 6316 11361
2 1244 10439
2 8192 7192
2 1101 8039
2 12019 5514
2 11970 12701
2 10027 8077
2 2929 11513
2 10462 11391
2 1634 9911
2 7883 10528
2 13571 11979
2 11456 5249
2 8335 8422
2 6346 10508
2 8647 11796
2 11440 13245
2 5471 7847
2 9522 1535
2 5177 838
2 8168 10669
2 1761 11930
2 856 8891
2 3251 10736
2 369 1863
2 3579 5730
2 1154 12769
2 12905 3925
2 11548 6669
2 4291 9968
2 8419 5575
2 4838 7464
2 9759 13052
2 3163 11832
2 13520 241
2 3135 6628
2 6308 13458
2 2204 7301
2 7574 6323
2 9658 6842
2 10273 2469
2 10477 11226
2 5937 1978
2 7588 6601
2 7763 3569
2 6910 11825
2 1826 3700
2 11238 4041
2 2086 245
2 10984 10152
2 12700 7661
2 8605 6499
2 118 3541
2 13349 6764
2 4228 3419
2 6590 10091
2 2388 5796
2 2690 13380
2 8323 10148
2 389 4451
2 11700 9003
2 12485 5733
2 6723 8714
2 4168 13089
2 5818 1163
2 13087 12087
2 2244 7728
2 8751 11800
2 5850 11430
2 2229 10140
2 2373 7546
2 1626 4699
2 9040 7960
2 9839 9095
2 13302 4017
2 4260 8754
2 9621 1492
2 11606 10213
2 1453 9574
2 3677 13121
2 11397 3467
2 10158 2635
2 1969 6420
2 3227 5830
2 885 7180
2 6000 8997
2 5596 5697
2 9500 3079
2 1464 13153
2 12615 778
2 5936 7018
2 10207 9475
2 10668 6291
2 12072 383
2 12439 5570
2 13008 8005
2 13404 10498
2 5397 6197
2 7398 11577
2 8651 583
2 9593 825
2 10617 13118
2 285 11221
2 2172 13469
2 6057 6446
2 4858 6456
2 5508 2639
2 5663 2504
2 6964 2994
2 606 4743
2 6642 10675
2 9196 10495
2 4004 5161
2 2380 12045
2 9573 62
2 10569 1910
2 7037 3595
2 6189 9842
2 7990 3316
2 908 9560
2 10196 315
2 237 12383
2 3948 220
2 6498 1067
2 13123 12679
2 12331 4923
2 12212 7799
2 4087 13053
2 5630 13049
2 9214 795
2 12591 5642
2 6049 222
2 12226 7757
2 5732 3987
2 2422 8877
2 4605 10853
2 9512 11001
2 10486 1886
2 3653 8881
2 6965 5011
2 12399 10582
2 9395 11411
2 4528 5494
2 9183 11421
2 4544 10519
2 12886 10167
2 665 8201
2 7508 11718
2 3026 6340
2 2214 11449
2 12735 12522
2 12506 10777
2 4931 3733
2 5249 1653
2 1968 1245
2 7718 3263
2 1282 319
2 3001 3740
2 6104 105
2 12846 6983
2 10180 9487
2 5142 2800
2 10139 396
2 9206 4814
2 10060 667
2 9331 6952
2 5237 5676
2 8592 13205
2 8486 11852
2 10682 9181
2 11409 11623
2 7256 1709
2 10453 2895
2 4548 10742
2 10612 2833
2 4370 3803
2 13160 13210
2 12875 12288
2 8716 11197
2 9962 3287
2 6888 5000
2 6177 13368
2 10521 5906
2 3927 440
2 10658 12117
2 3929 6810
2 2708 10376
2 10355 1016
2 12087 8766
2 2519 9173
2 874 7466
2 10577 4818
2 4204 3945
2 11736 8442
2 244 9440
2 9290 8846
2 10224 12420
2 6331 1913
2 3067 13245
2 11065 6356
2 3892 12646
2 9554 545
2 1893 219
2 1600 8392
2 757 7152
2 13315 13102
2 943 10247
2 2130 5638
2 11292 6198
2 662 5294
2 3979 7173
2 6054 8207
2 9353 10928
2 2650 6746
2 11532 12059
2 12049 13203
2 3815 5056
2 7065 1043
2 7218 6504
2 4692 6133
2 9815 9298
2 11652 13023
2 10839 5289
2 12630 10629
2 7277 783
2 11033 8948
2 9514 10808
2 1586 11801
2 9191 1148
2 5638 10198
2 636 7553
2 4275 1596
2 6159 7596
2 2345 351
2 10729 12315
2 3777 10547
2 11158 5917
2 6984 6221
2 568 3727
2 11221 722
2 7593 7945
2 6410 11742
2 3244 12847
2 10338 5678
2 2826 10661
2 7770 9094
2 6304 7887
2 9105 12603
2 1970 11747
2 5340 13193
2 11809 5481
2 9747 3705
2 6641 9413
2 1226 2842
2 6343 7444
2 6773 6514
2 10844 10407
2 3663 6783
2 6905 7862
2 9231 9044
2 8680 1172
2 6682 344
2 552 720
2 9152 7828
2 1917 13573
2 2956 11858
2 4985 6642
2 6051 2396
2 3300 857
2 10600 2539
2 9059 11048
2 10911 11548
2 12041 12751
2 8311 871
2 130 2706
2 7428 2699
2 13240 9379
2 1931 4094
2 6428 11528
2 10774 3277
2 12078 12021
2 1628 2489
2 5757 7684
2 4592 13284
2 13132 5224
2 10205 9048
2 9201 9035
2 2892 9481
2 6142 11323
2 1929 13035
2 5506 12022
2 7841 11975
2 8158 8455
2 11040 5511
2 821 9369
2 1703 3194
2 13313 13085
2 5196 12697
2 7028 6972
2 11746 5817
2 12879 9293
2 10128 12505
2 12936 7250
2 9866 12483
2 8392 5353
2 2080 13133
2 9535 11353
2 3354 992
2 10850 6497
2 7732 1846
2 5558 13098
2 136 5069
2 11991 1287
2 13492 10670
2 11666 12377
2 9640 10448
2 6360 3797
2 6881 12909
2 12439 4107
2 5161 3005
2 7223 13094
2 886 573
2 4147 6885
2 2851 11237
2 9438 9167
2 10515 5030
2 9066 6432
2 10909 4433
2 7208 1695
2 10195 12262
2 3819 8745
2 3764 10876
2 5305 3044
2 551 1905
2 6931 1452
2 13040 2649
2 9651 589
2 10876 4172
2 7239 11690
2 8491 13295
2 5265 2419
2 4945 13330
2 7613 890
2 12913 11202
2 5358 11052
2 5785 7589
2 12871 5122
2 9933 11652
2 9333 11622
2 2520 2331
2 7756 2524
2 6174 12341
2 1382 3441
2 1345 12654
2 2152 6389
2 5981 13479
2 10979 6862
2 7306 1587
2 1488 12235
2 5805 2628
2 11325 12717
2 11578 12134
2 1490 11279
2 541 2578
2 9729 12959
2 4441 669
2 12985 6215
2 11154 10222
2 11945 8500
2 2913 8770
2 10855 9776
2 8100 10940
2 20 5199
2 10352 356
2 1907 10826
2 8611 2724
2 7386 11215
2 2655 8447
2 12172 8433
2 5345 12038
2 9960 13340
2 11854 7870
2 11728 2698
2 12584 10025
2 9909 7284
2 4528 5347
2 11948 3581
2 11645 2080
2 13003 3180
2 9625 3065
2 945 2173
2 11659 3151
2 1625 2810
2 2573 8804
2 4091 7334
2 450 4386
2 12969 8072
2 5094 6758
2 837 10062
2 1632 3815
2 7068 5748
2 11331 11296
2 13010 10832
2 12963 7774
2 7208 9300
2 3796 8133
2 12582 8996
2 13141 2940
2 7590 8078
2 8902 4366
2 3921 6974
2 8363 8415
2 2341 7561
2 8687 4123
2 526 1914
2 10261 2054
2 4227 10356
2 2926 11868
2 11119 5389
2 11184 10591
2 7619 5494
2 11101 5851
2 1620 5368
2 3725 5383
2 9562 8177
2 4234 6035
2 3910 6651
2 13322 12772
2 11777 7565
2 7012 2021
2 2880 9844
2 7472 970
2 2452 9447
2 4726 900
2 12768 9768
2 8481 10862
2 13256 10822
2 6121 4734
2 11128 8260
2 12044 9139
2 7793 7851
2 12210 5143
2 8226 7478
2 420 582
2 7059 10071
2 4955 8898
2 12408 2807
2 342 12941
2 4225 13308
2 5928 10017
2 1867 9347
2 9457 7615
2 10506 11097
2 8823 6921
2 8524 5060
2 6225 7925
2 376 2910
2 8864 2652
2 1032 1260
2 11145 4605
2 12412 9431
2 8315 5423
2 12417 2401
2 7792 11906
2 4944 6833
2 12240 4219
2 1533 2865
2 12736 10226
2 8184 7689
2 6439 6527
2 12456 8539
2 790 135
2 6637 11505
2 2508 4713
2 5481 9647
2 7764 6365
2 6725 11278
2 6219 2533
2 574 7115
2 6632 8975
2 11753 13408
2 8819 8632
2 4483 10329
2 8356 3547
2 1699 10287
2 2732 13051
2 2794 1288
2 6454 72
2 228 12063
2 4305 201
2 5056 12291
2 6794 8522
